iter	Passed	Remaining
0	0	75
1	1	72
2	2	71
3	2	67
4	3	67
5	4	65
6	4	65
7	5	64
8	6	64
9	7	63
10	7	63
11	8	62
12	9	61
13	9	61
14	10	60
15	11	60
16	12	60
17	13	60
18	14	60
19	14	59
20	15	58
21	16	58
22	17	57
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	21	53
29	22	53
30	23	52
31	24	51
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	56	22
71	57	22
72	57	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	69	12
85	70	11
86	71	10
87	71	9
88	72	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	82	0
